지점,지점명,일시,합계 일사량(MJ/m2)
104,북강릉,2023-05,621.52
104,북강릉,2023-06,638.46
104,북강릉,2023-07,531.51
104,북강릉,2023-08,449.99
104,북강릉,2023-09,404.17
104,북강릉,2023-10,408.32
104,북강릉,2023-11,326.58
104,북강릉,2023-12,247.26
104,북강릉,2024-01,289.54
104,북강릉,2024-02,221.22
104,북강릉,2024-03,460.78
104,북강릉,2024-04,525.29
104,북강릉,2024-05,684.93
104,북강릉,2024-06,683.17
104,북강릉,2024-07,485.8
104,북강릉,2024-08,590.04
104,북강릉,2024-09,353.92
104,북강릉,2024-10,302.46
104,북강릉,2024-11,256.63
104,북강릉,2024-12,279.39
104,북강릉,2025-01,302.41
104,북강릉,2025-02,403.27
104,북강릉,2025-03,461.44
104,북강릉,2025-04,589.25
104,북강릉,2025-05,635.55
104,북강릉,2025-06,619.62
104,북강릉,2025-07,607.81
104,북강릉,2025-08,552.99
104,북강릉,2025-09,400.6
104,북강릉,2025-10,219.29
104,북강릉,2025-11,337.65
104,북강릉,2025-12,277.3
105,강릉,2016-01,315.74
105,강릉,2016-02,357.06
105,강릉,2016-03,440.53
105,강릉,2016-04,567.36
105,강릉,2016-05,715.68
105,강릉,2016-06,581.91
105,강릉,2016-07,474.47
105,강릉,2016-08,573.78
105,강릉,2016-09,340.44
105,강릉,2016-10,304.15
105,강릉,2016-11,280.78
105,강릉,2016-12,242.19
105,강릉,2017-01,306.88
105,강릉,2017-02,375.38
105,강릉,2017-03,438.34
105,강릉,2017-04,617.31
105,강릉,2017-05,703.85
105,강릉,2017-06,684.74
105,강릉,2017-07,511.43
105,강릉,2017-08,418.45
105,강릉,2017-09,535.15
105,강릉,2017-10,307.39
105,강릉,2017-11,312.47
105,강릉,2017-12,301.45
105,강릉,2018-01,321.75
105,강릉,2018-02,376.58
105,강릉,2018-03,459.2
105,강릉,2018-04,567.54
105,강릉,2018-05,572.89
105,강릉,2018-06,650.56
105,강릉,2018-07,609.99
105,강릉,2018-08,496.61
105,강릉,2018-09,439.54
105,강릉,2018-10,423.87
105,강릉,2018-11,276.35
105,강릉,2018-12,282.61
105,강릉,2019-01,316.03
105,강릉,2019-02,361.66
105,강릉,2019-03,491.78
105,강릉,2019-04,552.75
105,강릉,2019-05,742.51
105,강릉,2019-06,628.67
105,강릉,2019-07,556.37
105,강릉,2019-08,558.62
105,강릉,2019-09,377.37
105,강릉,2019-10,337.54
105,강릉,2019-11,278.85
105,강릉,2019-12,257.6
105,강릉,2020-01,238.15
105,강릉,2020-02,344.96
105,강릉,2020-03,520.09
105,강릉,2020-04,570.37
105,강릉,2020-05,618.57
105,강릉,2020-06,620.74
105,강릉,2020-07,453.47
105,강릉,2020-08,388.74
105,강릉,2020-09,390.85
105,강릉,2020-10,407.19
105,강릉,2020-11,306.12
105,강릉,2020-12,292.52
105,강릉,2021-01,296.02
105,강릉,2021-02,366.73
105,강릉,2021-03,461.98
105,강릉,2021-04,571.24
105,강릉,2021-05,580.52
105,강릉,2021-06,552.76
105,강릉,2021-07,661.09
105,강릉,2021-08,367.38
105,강릉,2021-09,404.96
105,강릉,2021-10,328.63
105,강릉,2021-11,303.6
105,강릉,2021-12,286.04
105,강릉,2022-01,316.46
105,강릉,2022-02,407.82
105,강릉,2022-03,436.39
